"","site_code","location_name","latlong","gaps","depth","analyte_profile_conc"
"45.739055, -122.309112","ABBY","ABBY_initSoil","45.739055, -122.309112",0,100,5.071
"45.743366, -122.35901","ABBY","ABBY_initSoil","45.743366, -122.35901",0,100,2.215
"45.743937, -122.317109","ABBY","ABBY_initSoil","45.743937, -122.317109",0,100,4.541
"45.744589, -122.381659","ABBY","ABBY_initSoil","45.744589, -122.381659",0,100,2.766
"45.745361, -122.375882","ABBY","ABBY_initSoil","45.745361, -122.375882",0,85,4.12823529411765
"45.746995, -122.332415","ABBY","ABBY_initSoil","45.746995, -122.332415",0,100,3.341
"45.752598, -122.325841","ABBY","ABBY_initSoil","45.752598, -122.325841",0,100,2.079
"45.760544, -122.330038","ABBY","ABBY_initSoil","45.760544, -122.330038",0,100,4.785
"45.765614, -122.299549","ABBY","ABBY_initSoil","45.765614, -122.299549",0,100,2.365
"45.767791, -122.303342","ABBY","ABBY_initSoil","45.767791, -122.303342",0,100,5.684
"45.768936, -122.361007","ABBY","ABBY_initSoil","45.768936, -122.361007",0,100,5.387
"45.770172, -122.387515","ABBY","ABBY_initSoil","45.770172, -122.387515",0,100,2.068
"45.771358, -122.355223","ABBY","ABBY_initSoil","45.771358, -122.355223",0,100,3.01
"45.772619, -122.346369","ABBY","ABBY_initSoil","45.772619, -122.346369",0,100,5.207
"45.772764, -122.369799","ABBY","ABBY_initSoil","45.772764, -122.369799",0,100,6.407
"45.762378, -122.329672","ABBY",NA,"45.762378, -122.329672",0,200,2.347
"48.46504064, -123.0143109","1","1","1",1,1,1
"44.231, -122.22","AND","H.J. Andrews","44.231, -122.22",0,20,5.32775
"68.63333, -149.7167","2","2","2",2,2,2
"67.927667, -161.963717","2","2","2",2,2,2
"68.553, -149.574444","2","2","2",2,2,2
"68.562267, -149.571017","2","2","2",2,2,2
"68.633222, -149.7985","2","2","2",2,2,2
"68.666256, -149.817472","2","2","2",2,2,2
"68.671592, -149.844794","2","2","2",2,2,2
"68.677903, -149.621064","2","2","2",2,2,2
"68.679244, -149.627725","2","2","2",2,2,2
"27.15, -81.18333333","1","1","1",1,1,1
"33.67, 101.87","1","1","1",1,1,1
"51.392138, 11.877969","1","1","1",1,1,1
"-41.00644, -71.15323","1","1","1",1,1,1
"71.226667, -156.546572","BARR","BARR_initSoil","71.226667, -156.546572",0,100,26.128
"71.241422, -156.502856","BARR","BARR_initSoil","71.241422, -156.502856",0,52,10.75
"71.242584, -156.311981","BARR","BARR_initSoil","71.242584, -156.311981",0,100,8.308
"71.244105, -156.421392","BARR","BARR_initSoil","71.244105, -156.421392",0,100,25.481
"71.246709, -156.395116","BARR","BARR_initSoil","71.246709, -156.395116",0,52,29.8076923076923
"71.247916, -156.444305","BARR","BARR_initSoil","71.247916, -156.444305",0,100,20.66
"71.25008, -156.485007","BARR","BARR_initSoil","71.25008, -156.485007",1,120,12.655
"71.250115, -156.527704","BARR","BARR_initSoil","71.250115, -156.527704",2,100,9.951
"71.251783, -156.451332","BARR","BARR_initSoil","71.251783, -156.451332",0,56,46.0285714285714
"71.252017, -156.509878","BARR","BARR_initSoil","71.252017, -156.509878",0,100,8.18
"71.253775, -156.380751","BARR","BARR_initSoil","71.253775, -156.380751",0,100,9.423
"71.2558, -156.5504","BARR","BARR_initSoil","71.2558, -156.5504",1,100,11.088
"71.263723, -156.603872","BARR","BARR_initSoil","71.263723, -156.603872",0,100,11.853
"71.267253, -156.562377","BARR","BARR_initSoil","71.267253, -156.562377",0,100,6.2
"71.2686559999999, -156.650984","BARR","BARR_initSoil","71.2686559999999, -156.650984",0,100,22.521
"71.298765, -156.648196","BARR","BARR_initSoil","71.298765, -156.648196",0,100,12.163
"71.30303, -156.623332","BARR","BARR_initSoil","71.30303, -156.623332",1,100,10.884
"71.306198, -156.639765","BARR","BARR_initSoil","71.306198, -156.639765",0,100,15.764
"71.30672, -156.616988","BARR","BARR_initSoil","71.30672, -156.616988",0,100,9.466
"71.316715, -156.620809","BARR","BARR_initSoil","71.316715, -156.620809",0,100,16.867
"71.281711, -156.650219","BARR",NA,"71.281711, -156.650219",1,180,9.64722222222222
"44.041571, -71.28692","BART","BART_initSoil","44.041571, -71.28692",0,100,9.787
"44.041738, -71.277599","BART","BART_initSoil","44.041738, -71.277599",0,100,8.141
"44.042903, -71.273126","BART","BART_initSoil","44.042903, -71.273126",0,100,11.867
"44.046089, -71.316317","BART","BART_initSoil","44.046089, -71.316317",0,100,1.351
"44.049319, -71.263643","BART","BART_initSoil","44.049319, -71.263643",0,80,19.79625
"44.050006, -71.296275","BART","BART_initSoil","44.050006, -71.296275",0,100,6.296
"44.050073, -71.26668","BART","BART_initSoil","44.050073, -71.26668",0,100,2.689
"44.052777, -71.263782","BART","BART_initSoil","44.052777, -71.263782",0,20,28.65
"44.053794, -71.308072","BART","BART_initSoil","44.053794, -71.308072",0,100,10.268
"44.05462, -71.282199","BART","BART_initSoil","44.05462, -71.282199",0,100,12.333
"44.057361, -71.305891","BART","BART_initSoil","44.057361, -71.305891",0,100,3.506
"44.057947, -71.261745","BART","BART_initSoil","44.057947, -71.261745",0,100,16.191
"44.058474, -71.277857","BART","BART_initSoil","44.058474, -71.277857",0,100,7.458
"44.06068, -71.262946","BART","BART_initSoil","44.06068, -71.262946",0,100,5.487
"44.069363, -71.286142","BART","BART_initSoil","44.069363, -71.286142",0,100,5.209
"44.06516, -71.28834","BART",NA,"44.06516, -71.28834",0,200,1.747
"42.244586, -99.6518","1","1","1",1,1,1
"40.01121612, -105.4630518","1","1","1",1,1,1
"40.01123129, -105.4635727","1","1","1",1,1,1
"40.01124764, -105.4645174","1","1","1",1,1,1
"40.01133506, -105.4650232","1","1","1",1,1,1
"40.01135032, -105.4640594","1","1","1",1,1,1
