lat,long,lat.clean,long.clean,Notes
68.640255,-149.642462,68.640255,-149.642462,
68.616768,-149.629357,68.616768,-149.629357,
68.585776,-149.543182,68.585776,-149.543182,
68.560149,-149.528533,68.560149,-149.528533,
68.664074,-149.381293,68.664074,-149.381293,
68.665516,-149.375516,68.665516,-149.375516,
68.666667,-149.369753,68.666667,-149.369753,
68.658157,-149.36219,68.658157,-149.36219,
68.627943,-149.34723,68.627943,-149.34723,
63.887139,-149.301221,63.887139,-149.301221,
63.87307,-149.287886,63.87307,-149.287886,
68.622127,-149.280183,68.622127,-149.280183,
63.863602,-149.273634,63.863602,-149.273634,
63.877229,-149.263771,63.877229,-149.263771,
-149.239569,63.880708,63.880708,-149.239569,Reversed lat long
63.883056°,-149.225556°,63.883056,-149.225556,
63.897743,-149.22509,63.897743,-149.22509,
63.872775,-149.220656,63.872775,-149.220656,
63.875485,-149.21903,63.875485,-149.21903,
63.873367,-149.216447,63.873367,-149.216447,
63.875088,-149.210438,63.875088,-149.210438,
63.888391,-149.20477,63.888391,-149.20477,
64.89593,-148.4534,64.89593,-148.4534,
64.9629°,-144.9734°,64.9629,-144.9734,
40.81667,-140.75,40.81667,-140.75,
46.6149,-124.0484,46.6149,-124.0484,
48.46,-123.38,48.46,-123.38,
44.4097,-123.28,44.4097,-123.28,
39.01275343,-123.0603134,39.01275343,-123.0603134,
46.86877222,-123.0343556,46.86877222,-123.0343556,
48.46504064,-123.0143109,48.46504064,-123.0143109,
48.20658068,-122.624754,48.20658068,-122.624754,
38.86427212,-122.4064063,38.86427212,-122.4064063,
37.40500045,-122.2411342,37.40500045,-122.2411342,
44115誰,122110淡,44.231,-122.22,Manual fix
44115’N,122110’W,44.231,-122.22,Manual fix
44.20517707,-122.1284473,44.20517707,-122.1284473,
36.984861,-122.05025,36.984861,-122.05025,
44.27668543,-121.9680169,44.27668543,-121.9680169,
44.27951804,-121.9566829,44.27951804,-121.9566829,
36.867861,-121.739944,36.867861,-121.739944,
36.2,-121.55,36.2,-121.55,
39.23550963,-121.2836963,39.23550963,-121.2836963,
39.43,-120.24,39.43,-120.24,
34.7,-120.0166667,34.7,-120.0166667,
37.1087,-119.7313,37.1087,-119.7313,
42.723745,-119.49767,42.723745,-119.49767,
37.0311,-119.2563,37.0311,-119.2563,
37.0673,-119.1948,37.0673,-119.1948,
37.0671,-118.9871,37.0671,-118.9871,
32.875,-117.052243,32.875,-117.052243,
46.664613,-114.0005227,46.664613,-114.0005227,
40.164707,-112.547061,40.164707,-112.547061,
40.158539,-112.521575,40.158539,-112.521575,
40.190515,-112.51523,40.190515,-112.51523,
33.4,-112.5,33.4,-112.5,
40.201042,-112.497129,40.201042,-112.497129,
40.185937,-112.472482,40.185937,-112.472482,
40.160803,-112.47125,40.160803,-112.47125,
40.212498,-112.467435,40.212498,-112.467435,
40.193323,-112.464547,40.193323,-112.464547,
40.176672,-112.456784,40.176672,-112.456784,
40.173719,-112.456713,40.173719,-112.456713,
40.175365,-112.453933,40.175365,-112.453933,
40.17402,-112.452841,40.17402,-112.452841,
40.180774,-112.431855,40.180774,-112.431855,
40.205921,-112.430276,40.205921,-112.430276,
44.242989,-112.198391,44.242989,-112.198391,
33.448376,-112.074036,33.448376,-112.074036,
31.840609,-110.917189,31.840609,-110.917189,
31.795656,-110.910239,31.795656,-110.910239,
31.870334,-110.856598,31.870334,-110.856598,
31.910358,-110.838435,31.910358,-110.838435,
31.910099,-110.837175,31.910099,-110.837175,
31.909824,-110.835912,31.909824,-110.835912,
31.91068,-110.83549,31.91068,-110.83549,
31.909531,-110.833359,31.909531,-110.833359,
31.828844,-110.823985,31.828844,-110.823985,
31.862142,-110.818853,31.862142,-110.818853,
31.906778,-110.815262,31.906778,-110.815262,
38.210793,-109.414698,38.210793,-109.414698,
38.257569,-109.413674,38.257569,-109.413674,
38.236381,-109.406596,38.236381,-109.406596,
38.210931,-109.403724,38.210931,-109.403724,
38.23327,-109.397418,38.23327,-109.397418,
38.248085,-109.392293,38.248085,-109.392293,
38.2459,-109.390298,38.2459,-109.390298,
38.24454,-109.389977,38.24454,-109.389977,
38.245634,-109.389606,38.245634,-109.389606,
38.25136,-109.38882,38.25136,-109.38882,
38.261287,-109.349483,38.261287,-109.349483,
32.630328,-106.86076,32.630328,-106.86076,
32.59052,-106.84377,32.59052,-106.84377,
32.592144,-106.84334,32.592144,-106.84334,
32.591348,-106.843322,32.591348,-106.843322,
32.589481,-106.841383,32.589481,-106.841383,
32.590028,-106.840435,32.590028,-106.840435,
32.600614,-106.838099,32.600614,-106.838099,
32.611356,-106.826155,32.611356,-106.826155,
32.590562,-106.82446,32.590562,-106.82446,
32.54434074,-106.8108509,32.54434074,-106.8108509,
32.575696,-106.803388,32.575696,-106.803388,
32.60493,-106.802046,32.60493,-106.802046,
34.3592,-106.6905,34.3592,-106.6905,
40.05465,-105.586515,40.05465,-105.586515,
40.046551,-105.584709,40.046551,-105.584709,
40.04845,-105.584355,40.04845,-105.584355,
40.05236,-105.58324,40.05236,-105.58324,
40.050349,-105.582965,40.050349,-105.582965,
40.043059,-105.581501,40.043059,-105.581501,
40.054475,-105.567875,40.054475,-105.567875,
40.051247,-105.565041,40.051247,-105.565041,
40.055052,-105.561552,40.055052,-105.561552,
40.042344,-105.558975,40.042344,-105.558975,
40.04106,-105.547043,40.04106,-105.547043,
