"google_dir","time_series","layers","var_n","top_layers_n","mid_layers_n","bot_layers_n","avg","min","max"
"AND_10YR_CN","YES","NO",18,1,0,1,4.5,2.9,8.7
"AND_10YR_DenseFrac","YES","NO",0,1,0,1,NA,NA,NA
"AND_15YR_CN","YES","YES",44,2,0,2,4.3,1.9,11
"ARC1","NO","YES",337,16,0,42,NA,NA,NA
"ARC2","NO","YES",188,2,0,33,NA,NA,NA
"BcCZO","NO","NO",97,1,0,1,6.2,1.1,17.1
"BES","NO","YES",285,4,0,4,NA,NA,NA
"BNZ1","NO","NO",87,0,0,34,30.2,2,47.3
"BNZ2","NO","YES",147,10,0,27,NA,NA,NA
"BNZ3","NO","YES",651,67,0,47,25.4,0.2,50
"BNZ4","YES","YES",223,10,0,10,252.6,15,464
"BOU_20YR_roots","NO","YES",0,5,5,0,NA,NA,NA
"BOU_20YR_soilchem","NO","YES",65,5,0,5,6.2,0.6,37.3
"Calhoun","NO","NO",76,0,62,0,NA,NA,NA
"cap.survey_200","YES","NO",825,0,0,0,NA,NA,NA
"CWT_ws7and2_soilCN","YES","YES",1522,3,0,10,NA,NA,NA
"CWTgradient_forestfloor","YES","NO",112,0,0,0,NA,NA,NA
"NEON_megapitSOIL_a-master-database",NA,"YES",0,126,0,131,NA,NA,NA
"som_testing_env","NO","YES",0,3,0,0,NA,NA,NA
"som_testing_envII","YES","NO",18,1,0,1,4.5,2.9,8.7
