"google_dir","time_series","layers","var_n","avg","min","max"
"AND_10YR_CN","YES","NO",18,4.5,2.9,8.7
"AND_10YR_DenseFrac","YES","NO",0,NA,NA,NA
"AND_15YR_CN","YES","YES",44,4.3,1.9,11
"ARC1","NO","YES",337,NA,NA,NA
"ARC2","NO","YES",188,NA,NA,NA
"BcCZO","NO","NO",97,6.2,1.1,17.1
"BES","NO","YES",285,NA,NA,NA
"BNZ1","NO","NO",87,30.2,2,47.3
"BNZ2","NO","YES",147,NA,NA,NA
"BNZ3","NO","YES",651,25.4,0.2,50
"BNZ4","YES","YES",223,252.6,15,464
"BOU_20YR_roots","NO","YES",0,NA,NA,NA
"BOU_20YR_soilchem","NO","YES",65,6.2,0.6,37.3
"Calhoun","NO","NO",76,NA,NA,NA
"cap.survey_200","YES","NO",825,NA,NA,NA
"CWT_ws7and2_soilCN","YES","YES",1522,NA,NA,NA
"CWTgradient_forestfloor","YES","NO",112,NA,NA,NA
"NEON_megapitSOIL_a-master-database",NA,"YES",0,NA,NA,NA
"som_testing_env","NO","YES",0,NA,NA,NA
"som_testing_envII","YES","NO",18,4.5,2.9,8.7
