attributeName,formatString,unit,numberType,definition,attributeDefinition,columnClasses,minimum,maximum
google_dir,NA,NA,NA,name of the directory on Google Drive where the data reside (a surrogate for identifying distinct SoDaH data entities at the directory level),name of the directory on Google Drive where the data reside (a surrogate for identifying distinct SoDaH data entities at the directory level),character,NA,NA
data_file,NA,NA,NA,name of the file that was homogenized,name of the file that was homogenized,character,NA,NA
curator_PersonName,NA,NA,NA,Name of Person Entering Data,Name of Person Entering Data,character,NA,NA
curator_organization,NA,NA,NA,Organization of Person Entering Data,Organization of Person Entering Data,character,NA,NA
curator_email,NA,NA,NA,Email Address of Person Entering Data,Email Address of Person Entering Data,character,NA,NA
modification_date,YYYY-MM-DD,NA,NA,NA,Template Modification Date,Date,NA,NA
author_PersonName,NA,NA,NA,Corresponding Author of Publication/ Dataset,Corresponding Author of Publication/ Dataset,character,NA,NA
author_email,NA,NA,NA,Corresponding Author Email,Corresponding Author Email,character,NA,NA
author_orcid_id,NA,NA,NA,Corresponding Author ORCID ID Number,Corresponding Author ORCID ID Number,character,NA,NA
addit_contact_person,NA,NA,NA,Additional contacts (site leads),Additional contacts (site leads),character,NA,NA
addit_contact_email,NA,NA,NA,Additional contacts Email,Additional contacts Email,character,NA,NA
bibliographical_reference,NA,NA,NA,Bibliographical Reference,Bibliographical Reference,character,NA,NA
data_doi,NA,NA,NA,Dataset Digital Object Identifier (DOI) Number,Dataset Digital Object Identifier (DOI) Number,character,NA,NA
network,NA,NA,NA,NA,"Network (e.g. LTER, CZO, DIRT, NutNet, etc)",factor,NA,NA
site_code,NA,NA,NA,Site code (e.g. LUQ) or name,Site code (e.g. LUQ) or name,character,NA,NA
location_name,NA,NA,NA,Location name,Location name,character,NA,NA
lat,NA,degree,real,NA,Latitude (degrees),numeric,-51.916028,78.7
long,NA,degree,real,NA,Longitude (degrees),numeric,-161.96455,152.923222
datum,NA,NA,NA,Latitude/Longitude Datum,Latitude/Longitude Datum,character,NA,NA
elevation,NA,meter,real,NA,Elevation,numeric,0,4400
map,NA,millimeter,real,NA,Mean Annual Precipitation,numeric,105,4250
mat,NA,celsius,real,NA,Mean Annual Temperature,numeric,-12,27.258333
clim_avg_yrs,NA,NA,NA,Climate averaging period,Climate averaging period,character,NA,NA
tx_start,YYYY,NA,natural,NA,Treatment initiation,Date,1300,2019
aspect_deg,NA,degree,real,NA,Site Aspect (degrees),numeric,0,360
aspect_class,NA,NA,NA,NA,Site Aspect Class,factor,NA,NA
slope,NA,degree,real,NA,Slope,numeric,0,29
slope_shape,NA,NA,NA,NA,Slope Shape,factor,NA,NA
drainage_class,NA,NA,NA,NA,Drainage Class,factor,NA,NA
depth_water,NA,meter,natural,NA,Depth to Water Table,numeric,5,5
parent_transport,NA,NA,NA,NA,parent_transport,factor,NA,NA
parent_material,NA,NA,NA,NA,parent_material (NRCS),factor,NA,NA
rock_chem,NA,NA,NA,NA,bedrock chemistry,factor,NA,NA
land_cover,NA,NA,NA,NA,Land Cover Category,factor,NA,NA
eco_region,NA,NA,NA,NA,Ecoregion (wwf),factor,NA,NA
loc_texture_class,NA,NA,NA,NA,Soil texture class (NRCS),factor,NA,NA
plant,NA,NA,NA,Dominant plant species,Dominant plant species,character,NA,NA
lit_c,NA,dimensionless,real,NA,Fine Litterfall Carbon,numeric,14.65,8006.354371
lit_n,NA,dimensionless,real,NA,Fine Litterfall Nitrogen,numeric,0.31,169.416059
lit_p,NA,milligramPerGram,real,NA,Fine Litterfall phosphorus,numeric,0.214032,5.731635
lit_cn,NA,dimensionless,real,NA,Fine Litterfall C:N,numeric,14.505208,166.21875
lit_lig,NA,dimensionless,real,NA,aboveground litterfall lignin,numeric,13.59,38.2
npp,NA,gramPerMeterSquaredPerYear,natural,NA,net primary productivity,numeric,585,1230
anpp,NA,gramPerMeterSquaredPerYear,real,NA,aboveground net primary productivity,numeric,0,1141.95
bnpp,NA,gramPerMeterSquaredPerYear,real,NA,belowground net primary productivity,numeric,0,1624.555
bnpp_notes,NA,NA,NA,"bnpp notes (ingrowth, sequential coring, etc)","bnpp notes (ingrowth, sequential coring, etc)",character,NA,NA
litterfall_anpp,NA,gramPerMeterSquaredPerYear,real,NA,litterfall annual net primary productivity,numeric,0,108996.9136
agb,NA,gramPerMeterSquared,real,NA,aboveground biomass,numeric,0,63140
bgb,NA,gramPerMeterSquared,real,NA,root biomass,numeric,-1.64,46000
bgb_lowerdiam,NA,millimeter,real,NA,root biomass lower diameter cutoff,numeric,0,10
bgb_upperdiam,NA,millimeter,real,NA,root biomass upper diameter cutoff,numeric,0.5,1000
bgb_type,NA,NA,NA,root biomass type,root biomass type,character,NA,NA
bgb_notes,NA,NA,NA,root biomass comments,root biomass comments,character,NA,NA
bgb_c,NA,dimensionless,real,NA,root biomass C,numeric,0,66.47
bgb_n,NA,dimensionless,real,NA,root biomass N,numeric,0.0039,2.8
bgb_cn,NA,dimensionless,real,NA,root biomass C:N,numeric,13,284.4
wood_lit_c,NA,gramPerMeterSquaredPerYear,natural,NA,Wood litterfall C flux,numeric,183,183
align_1,NA,NA,NA,alignment notes for profile data 1,alignment notes for profile data 1,character,NA,NA
align_2,NA,NA,NA,alignment notes for profile data 2,alignment notes for profile data 2,character,NA,NA
loc_comments,NA,NA,NA,comments,comments,character,NA,NA
time_series,NA,NA,NA,NA,includes time-series data,factor,NA,NA
gradient,NA,NA,NA,NA,is a gradient study,factor,NA,NA
experiments,NA,NA,NA,NA,includes experimental manipulations,factor,NA,NA
control_id,NA,NA,NA,control samples identifier,control samples identifier,character,NA,NA
number_treatments,NA,NA,NA,number of treatments,number of treatments,character,NA,NA
merge_align,NA,NA,NA,NA,merging datafiles required? please add details to alignment notes,factor,NA,NA
key_version,NA,NA,NA,NA,key file version (do not edit),factor,NA,NA
L1,NA,NA,NA,Experimental Level 1 (top level),Experimental Level 1 (top level),character,NA,NA
L1_level,NA,NA,NA,scope or type of experiment,scope or type of experiment,factor,NA,NA
L2,NA,NA,NA,Experimental Level 2,Experimental Level 2,character,NA,NA
L2_level,NA,NA,NA,scope or type of experiment,scope or type of experiment,factor,NA,NA
L3,NA,NA,NA,Experimental Level 3,Experimental Level 3,character,NA,NA
L3_level,NA,NA,NA,scope or type of experiment,scope or type of experiment,factor,NA,NA
L4,NA,NA,NA,Experimental Level 4,Experimental Level 4,character,NA,NA
L4_level,NA,NA,NA,scope or type of experiment,scope or type of experiment,factor,NA,NA
L5,NA,NA,NA,Experimental Level 5,Experimental Level 5,character,NA,NA
L5_level,NA,NA,NA,scope or type of experiment,scope or type of experiment,factor,NA,NA
tx_L1,NA,NA,NA,Treatment_1_level,Treatment_1_level,character,NA,NA
tx_L1_level,NA,NA,NA,scope or type of treatment,scope or type of treatment,factor,NA,NA
tx_L2,NA,NA,NA,Treatment_2_level,Treatment_2_level,character,NA,NA
tx_L2_level,NA,NA,NA,scope or type of treatment,scope or type of treatment,factor,NA,NA
tx_L3,NA,NA,NA,Treatment_3_level,Treatment_3_level,character,NA,NA
tx_L3_level,NA,NA,NA,scope or type of treatment,scope or type of treatment,factor,NA,NA
tx_L4,NA,NA,NA,Treatment_4_level,Treatment_4_level,character,NA,NA
tx_L4_level,NA,NA,NA,scope or type of treatment,scope or type of treatment,factor,NA,NA
tx_L5,NA,NA,NA,Treatment_5_level,Treatment_5_level,character,NA,NA
tx_L5_level,NA,NA,NA,scope or type of treatment,scope or type of treatment,factor,NA,NA
tx_L6,NA,NA,NA,Treatment_6_level,Treatment_6_level,character,NA,NA
tx_L6_level,NA,NA,NA,scope or type of treatment,scope or type of treatment,factor,NA,NA
observation_date,NA,NA,NA,Observation Date,Observation Date,character,NA,NA
veg_note_profile,NA,NA,NA,Profile Vegetation,Profile Vegetation,character,NA,NA
lyr_c_tot,NA,dimensionless,real,NA,"Bulk Layer Total Carbon, not acid treated to remove inorganic C",numeric,0,60.69
