"","site_code","hzn_type","bgb_c_stock_sum","lyr_soc_stock_calc_sum","land_cover","mat","map","clay","layer_bot_max"
"1","ABBY","mineral",869.469238396383,27997.042,"forest",10,2450.59,37.3833333333333,200
"2","ABBY","organic",0,663.228,"forest",10,2450.59,36.4,3
"3","BARR","mineral",226.45682126283,28407.391,"rangeland/grassland",-12,105,24.5,180
"4","BARR","organic",2118.96690587175,34887.9,"rangeland/grassland",-12,105,19.5,110
"5","BART","mineral",544.631859423383,14683.76,"forest",6.2,1325.55,2.75,200
"6","BART","organic",0,1423.296,"forest",6.2,1325.55,11.8,3
"7","BLAN","mineral",184.190328323815,5652.109,"shrubland",12.1,982.55,30.8833333333333,200
"8","BLAN","organic",0,349.16,"shrubland",12.1,982.55,0,2
"9","BONA","mineral",139.003097684395,36563.936,"forest",-3,262,9.88,193
"10","BONA","organic",178.224209061737,12936.79,"forest",-3,262,NA,22
"11","CLBJ","mineral",414.414302782396,6455.752,"forest",17.5,925.61,15.5,147
"12","CPER","mineral",213.819309185871,9024.988,"rangeland/grassland",8.6,344.24,19.5,200
"13","DCFS","mineral",274.419641112631,26071.495,"rangeland/grassland",4.9,489.74,29,200
"14","DEJU","mineral",100.28809332893,11470.056,"forest",-3,305,5.76666666666667,300
"15","DEJU","organic",692.512121602448,4836.5,"forest",-3,305,5.7,5
"16","DELA","mineral",269.678035290083,9285.928,"forest",17.6,1371.7,32.4,200
"17","DELA","organic",0,428.736,"forest",17.6,1371.7,35.6,2
"18","DSNY","mineral",236.849579417788,15113.276,"rangeland/grassland",22.5,1216.09,0.488888888888889,200
"19","GRSM","mineral",547.864159767488,19323.079,"forest",13.1,1375.31,17.9166666666667,206
"20","GUAN","mineral",594.328560393298,21299.41,"forest",23,840,48.5857142857143,200
"21","HARV","mineral",784.553967510247,14829.046,"forest",7.4,1199.61,6.01111111111111,160
"22","HARV","organic",0,4681.728,"forest",7.4,1199.61,15.7,4
"23","HEAL","mineral",691.590697645012,34000.742,"rangeland/grassland",-1.3,385.3,14.05,84
"24","HEAL","organic",1830.63832296033,11428.853,"rangeland/grassland",-1.3,385.3,NA,31
"25","JERC","mineral",194.474068882388,6007.973,"forest",19.2,1307.97,7.82,200
"26","JORN","mineral",108.532469386396,1733.16,"rangeland/grassland",15.7,271.23,10.6833333333333,200
"27","KONA","mineral",0,16936.06,"cultivated",12.7,850.63,40.7714285714286,206
"28","KONZ","mineral",532.716639421042,18836.926,"rangeland/grassland",12.4,870.38,36.4,200
