NONCTLTRTSETID,PlantSpecies2018,FungalGenus2018,EMF_ORIGIN_TED,EMF_ORIGIN_ALT,Hoeksema2018,EXPERIMENTID,CTLTRTSETID,LASTNAME1,LASTNAME2,PAPERYEAR,JOURNALNAME,PAPERTITLE,PAPERDATASOURCENAME,EFFECTSIZE1,ESTVAR1,ESTVAR3,ctrl_mass,ctrl_reps,ctrl_sd,trt_mass,trt_reps,trt_sd,PlantFamily,PlantSpecies,PlantSpeciesMar2017,FungalGenus,PLANTLIFEHISTORY,FUNGROUP,NONMYCOCONTROL,NONMYCOCONTROL2,FERTP,FERTN,INOC.COMPLEXITY,STERILIZED,MYCORRHIZAETYPE,LOCATION,DOMESTICATED,Rua2016,Rua2017,Loc_Ad_appropriate,LA_Code,Plant_Lat,Plant_Long,Fung_Lat,Fung_Long,Soil_Lat,Soil_Long,AM_single_genus,EM_single_genus,Karst2018
75,medicago_sativa,glomus,NA,NA,YES,5,78,Medina,Probanza,2003,Applied Soil Ecology,Interactions of arbuscular-mycorrhizal fungi and Bacillus Strains and their effects on plant growth. microbial rhizosphere activity (thymidine and leucine incorporation) and fungal biomass (ergosterol and chitin),2004 Search,2.242767189,0.4,NA,104.316,5,NA,982.59,5,NA,fabaceae,medicago_sativa,NA,glomus,perennial,Nfixforb,microbial wash,microbes_added,Pno,Nno,Single,STERyes,AM,lab,DOMESTICATED,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,YES,NO,NO
76,medicago_sativa,rhizophagus,NA,NA,YES,5,78,Medina,Probanza,2003,Applied Soil Ecology,Interactions of arbuscular-mycorrhizal fungi and Bacillus Strains and their effects on plant growth. microbial rhizosphere activity (thymidine and leucine incorporation) and fungal biomass (ergosterol and chitin),2004 Search,1.953157057,0.4,NA,104.316,5,NA,735.523,5,NA,fabaceae,medicago_sativa,NA,rhizoglomus,perennial,Nfixforb,microbial wash,microbes_added,Pno,Nno,Single,STERyes,AM,lab,DOMESTICATED,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,YES,NO,NO
77,medicago_sativa,funneliformis,NA,NA,YES,5,78,Medina,Probanza,2003,Applied Soil Ecology,Interactions of arbuscular-mycorrhizal fungi and Bacillus Strains and their effects on plant growth. microbial rhizosphere activity (thymidine and leucine incorporation) and fungal biomass (ergosterol and chitin),2004 Search,1.27491477,0.4,NA,104.316,5,NA,373.284,5,NA,fabaceae,medicago_sativa,NA,funneliformis,perennial,Nfixforb,microbial wash,microbes_added,Pno,Nno,Single,STERyes,AM,lab,DOMESTICATED,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,YES,NO,NO
79,medicago_sativa,glomus,NA,NA,YES,5,82,Medina,Probanza,2003,Applied Soil Ecology,Interactions of arbuscular-mycorrhizal fungi and Bacillus Strains and their effects on plant growth. microbial rhizosphere activity (thymidine and leucine incorporation) and fungal biomass (ergosterol and chitin),2004 Search,2.419684271,0.4,NA,100.12,5,NA,1125.58,5,NA,fabaceae,medicago_sativa,NA,glomus,perennial,Nfixforb,microbial wash,microbes_added,Pno,Nno,Single,STERyes,AM,lab,DOMESTICATED,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,YES,NO,NO
80,medicago_sativa,rhizophagus,NA,NA,YES,5,82,Medina,Probanza,2003,Applied Soil Ecology,Interactions of arbuscular-mycorrhizal fungi and Bacillus Strains and their effects on plant growth. microbial rhizosphere activity (thymidine and leucine incorporation) and fungal biomass (ergosterol and chitin),2004 Search,1.880163204,0.4,NA,100.12,5,NA,656.244,5,NA,fabaceae,medicago_sativa,NA,rhizoglomus,perennial,Nfixforb,microbial wash,microbes_added,Pno,Nno,Single,STERyes,AM,lab,DOMESTICATED,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,YES,NO,NO
81,medicago_sativa,funneliformis,NA,NA,YES,5,82,Medina,Probanza,2003,Applied Soil Ecology,Interactions of arbuscular-mycorrhizal fungi and Bacillus Strains and their effects on plant growth. microbial rhizosphere activity (thymidine and leucine incorporation) and fungal biomass (ergosterol and chitin),2004 Search,1.2216257,0.4,NA,100.12,5,NA,339.677,5,NA,fabaceae,medicago_sativa,NA,funneliformis,perennial,Nfixforb,microbial wash,microbes_added,Pno,Nno,Single,STERyes,AM,lab,DOMESTICATED,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,YES,NO,NO
83,medicago_sativa,glomus,NA,NA,YES,5,86,Medina,Probanza,2003,Applied Soil Ecology,Interactions of arbuscular-mycorrhizal fungi and Bacillus Strains and their effects on plant growth. microbial rhizosphere activity (thymidine and leucine incorporation) and fungal biomass (ergosterol and chitin),2004 Search,2.230723704,0.4,NA,101.866,5,NA,948.026,5,NA,fabaceae,medicago_sativa,NA,glomus,perennial,Nfixforb,microbial wash,microbes_added,Pno,Nno,Single,STERyes,AM,lab,DOMESTICATED,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,YES,NO,NO
84,medicago_sativa,rhizophagus,NA,NA,YES,5,86,Medina,Probanza,2003,Applied Soil Ecology,Interactions of arbuscular-mycorrhizal fungi and Bacillus Strains and their effects on plant growth. microbial rhizosphere activity (thymidine and leucine incorporation) and fungal biomass (ergosterol and chitin),2004 Search,1.906690109,0.4,NA,101.866,5,NA,685.637,5,NA,fabaceae,medicago_sativa,NA,rhizoglomus,perennial,Nfixforb,microbial wash,microbes_added,Pno,Nno,Single,STERyes,AM,lab,DOMESTICATED,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,YES,NO,NO
85,medicago_sativa,funneliformis,NA,NA,YES,5,86,Medina,Probanza,2003,Applied Soil Ecology,Interactions of arbuscular-mycorrhizal fungi and Bacillus Strains and their effects on plant growth. microbial rhizosphere activity (thymidine and leucine incorporation) and fungal biomass (ergosterol and chitin),2004 Search,0.895532118,0.4,NA,101.866,5,NA,249.433,5,NA,fabaceae,medicago_sativa,NA,funneliformis,perennial,Nfixforb,microbial wash,microbes_added,Pno,Nno,Single,STERyes,AM,lab,DOMESTICATED,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,YES,NO,NO
129,apium_graveolens,rhizophagus,NA,NA,YES,17,128,Rice,Datnoff,2002,Journal of Plant Nutrition,Influence of vesicular-arbuscular mycorrhizae on celery transplant growth and phosphorus-use efficiency,2004 Search,0.102999239,0.333333333,NA,0.424,6,NA,0.47,6,NA,apiaceae,apium_graveolens,NA,rhizoglomus,perennial,nonNforb,none,mics_not_added,Pyes,Nyes,Single,STERno,AM,lab,DOMESTICATED,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,YES,NO,NO
