"","beta_roots","beta_soc","r2_roots","r2_soc","site_code","land_cover","mat","map","clay","layer_bot_max"
"1",0.925900725644379,0.974719355170867,0.996297031692475,0.994646402131832,"BART","forest",6.2,1325.55,3.75555555555556,200
"2",0.95957473676012,0.95784826049002,0.989909146120724,0.994259504266122,"HARV","forest",7.4,1199.61,6.98,160
"3",0.989409505514043,0.976943900795192,0.853023147723712,0.960867982477958,"RMNP","forest",2.9,730.59,6.1125,160
"4",0.970088678408117,0.984698166487688,0.996402973715775,0.993561752331673,"CPER","rangeland/grassland",8.6,344.24,19.5,200
"5",0.974975592066465,0.96640954040774,0.98625502816821,0.990425176974132,"STER","cultivated",9.7,432.67,15,200
"6",0.902509785507824,0.953411654365615,0.999611626126184,0.969217557580638,"OAES","rangeland/grassland",15.5,778.85,17.725,46
"7",0.971296663916766,0.983614010668948,0.993132815087043,0.991261997927414,"YELL","rangeland/grassland",3.4,493.44,21.15,200
"8",0.956209827314801,0.987504740761652,0.980140006959451,0.989660503692602,"MOAB","rangeland/grassland",10.1,319.46,10.0125,200
"9",0.884467122492739,0.961802599889781,0.999230679376259,0.993233604280444,"NIWO","rangeland/grassland",0.3,1004.54,7.35,200
"10",0.980185973714558,0.984758514115708,0.973549629910303,0.996355167397097,"ONAQ","shrubland",9,288.31,13.0625,200
"11",0.965689339811558,0.956772198450825,0.960588802712638,0.992768587666691,"BLAN","shrubland",12.1,982.55,26.4714285714286,200
"12",0.989569862011817,0.956205103971801,0.916590126256174,0.976107174238142,"SCBI","forest",11.6,1125.5,33.45,200
"13",0.961476189604841,0.968989324756443,0.973532973632806,0.959623340846474,"SERC","forest",13.6,1074.65,19.9583333333333,200
"14",0.955676084886423,0.984483036531276,0.995446280404772,0.959209667497202,"DSNY","rangeland/grassland",22.5,1216.09,0.488888888888889,200
"15",0.981282511401281,0.982312463245745,0.971580113306635,0.977478679919021,"JERC","forest",19.2,1307.97,7.82,200
"16",0.967626358144766,0.977822384741597,0.992381481828433,0.993133109452877,"OSBS","forest",20.9,1302.09,1.175,200
"17",0.973715697530596,0.96660916246833,0.906171792318382,0.985523343599349,"UNDE","forest",4.3,802.3,11.63,200
"18",0.937438334566014,0.983414112494952,0.969520216016618,0.997421772266117,"KONZ","rangeland/grassland",12.4,870.38,36.4,200
"19",0.98417382443452,0.976657744241946,0.971600286644652,0.995304755614385,"UKFS","forest",12.7,990.63,43.9875,200
"20",0.934438254546837,0.9700992357339,0.994666220524744,0.985680029242424,"MLBS","forest",8.8,1227.82,15.8,205
"21",0.965670744372686,0.968370138787364,0.941638646025183,0.971320023628091,"ORNL","forest",14.4,1340.32,28.1666666666667,180
"22",0.978659386911425,0.969718993936941,0.978587653158098,0.9931868864581,"DELA","forest",17.6,1371.7,32.8571428571429,200
"23",0.936762051213242,0.988594018781171,0.965418819223828,0.949482700829653,"DCFS","rangeland/grassland",4.9,489.74,29,200
"24",0.916671722068395,0.982909210243902,0.961631810605691,0.997340000333948,"NOGP","rangeland/grassland",5.9,456.51,26.47,200
"25",0.941420567803435,0.967829361816351,0.9670642495997,0.99373652383803,"WOOD","rangeland/grassland",4.9,493.76,9.05714285714286,200
"26",0.956012415603576,0.957286504997715,0.99719388372686,0.99890533398562,"STEI","forest",4.8,797.56,6.625,200
"27",0.949235567450576,0.97016063492437,0.994169946016465,0.991498947085933,"TREE","forest",4.8,797.56,4.63333333333333,200
"28",0.967901840236347,0.98935794791347,0.955305368726562,0.957189568080974,"LENO","forest",18.1,1386.24,27.9666666666667,200
"29",0.970280132432654,0.97600015062672,0.977877880471866,0.962851644407147,"TALL","forest",17.2,1382.68,6.05714285714286,200
"30",0.984984729487326,0.981832926045342,0.978930973028129,0.955863917795333,"SRER","shrubland",19.3,346.16,9.2,203
"31",0.970618448790579,0.979092843960306,0.996094473463677,0.970416068434097,"ABBY","forest",10,2450.59,37.2428571428571,200
"32",0.933152204060015,0.985180988503426,0.916916328224473,0.987975891699971,"WREF","forest",9.2,2225.01,7.28571428571429,200
"33",0.980717934201096,0.980632526865853,0.860893501878666,0.98011187871033,"SJER","rangeland/grassland",16.4,539.62,5.71666666666667,170
"34",0.983755096523827,0.972917649727332,0.996574617386383,0.993088066557611,"SOAP","forest",13.4,900.35,17.2833333333333,213
"35",0.959412407936802,0.988106246996135,0.990604645862866,0.968142449556046,"BONA","forest",-3,262,9.88,193
"36",0.81968463824154,0.98209130411601,0.999511204457437,0.832216497534099,"DEJU","forest",-3,305,5.75714285714286,300
"37",0.954667647648379,0.982042707572808,0.991027721113424,0.851588848539473,"HEAL","rangeland/grassland",-1.3,385.3,14.05,84
