"siteID","massPerUnitAreaAnnualMean","massPerUnitAreaAnnualSD","numYears"
"ABBY",95.2006658119658,19.7287472872696,3
"BART",348.646096657763,16.4230889698839,4
"BLAN",552.110308372183,63.2330288022086,4
"BONA",168.278737966712,61.5768020519433,3
"CLBJ",329.707974466829,123.26178212626,2
"DEJU",28.361891267434,9.3306134895513,4
"DELA",844.77526069422,119.13891773901,4
"GRSM",378.354990555961,47.7887492508557,4
"GUAN",421.338696715346,59.5710116630237,4
"HARV",427.248616096613,22.3311728209618,4
"HEAL",8.89619642857143,2.64388550065621,4
"JERC",405.92643369445,82.8494693945003,4
"KONZ",221.230083333333,56.8891378196322,4
"LENO",982.622245545236,42.9907463365056,2
"MLBS",494.510885080645,2.65645286300513,2
"NIWO",90.8695788239538,26.8344377267442,4
"ORNL",552.460081056005,63.4004517580945,4
"OSBS",237.410021892613,26.8122519438621,4
"PUUM",358.014096491228,NA,1
"RMNP",121.59866380719,8.91607635974897,2
"SCBI",607.444258017766,26.5389837352341,4
"SERC",546.220849297273,44.2615993091198,4
"SJER",330.166596113999,81.6749192000613,3
"SOAP",263.390378654363,38.5251556470126,2
"SRER",96.0627107206519,28.5488504637147,4
"STEI",279.504048945767,14.7630296156831,4
"TALL",500.587937246312,71.9644109205767,4
"TREE",304.568078806277,7.77856476541258,4
"UKFS",497.642767384764,35.010160521876,3
"UNDE",368.445940790608,26.6213637260232,4
"WREF",206.616146553364,25.9798831167601,2
"YELL",41.8155057513355,NA,1
