"","site_code","bgb_c_stock_sum","lyr_soc_stock_calc_sum","land_cover","eco_region","mat","map","clay","layer_bot_max","veg_note_profile"
"1","ABBY",869.469238396383,28660.27,"forest","temperate coniferous forest",10,2450.59,37.2428571428571,200,"Gaultheria shallon, Pseudotsuga menziesii, Corylus cornuta"
"2","BARR",2345.42372713458,63295.291,"rangeland/grassland","tundra",-12,105,22.8333333333333,180,"Carex aquatilis, Dupontia fisheri, Petasites frigidus"
"3","BART",544.631859423383,16107.056,"forest","temperate broadleaf or mixed forest",6.2,1325.55,3.75555555555556,200,"Fagus grandifolia, Tsuga canadensis, Acer pensylvanicum"
"4","BLAN",184.190328323815,6001.269,"shrubland","temperate grassland, savanna and shrubland",12.1,982.55,26.4714285714286,200,"Rhamnus davurica, Lonicera maackii, Solidago altissima"
"5","BONA",317.227306746132,49500.726,"forest","boreal forest/taiga",-3,262,9.88,193,"Picea mariana, Populus tremuloides, Vaccinium vitis-idaea"
"6","CLBJ",414.414302782396,6455.752,"forest","temperate broadleaf or mixed forest",17.5,925.61,15.5,147,"Bothriochloa ischaemum, Quercus stellata, Schizachyrium scoparium"
"7","CPER",213.819309185871,9024.988,"rangeland/grassland","temperate grassland, savanna and shrubland",8.6,344.24,19.5,200,"Bouteloua gracilis, Thelesperma filifolium, Hesperostipa comata"
"8","DCFS",274.419641112631,26071.495,"rangeland/grassland","temperate grassland, savanna and shrubland",4.9,489.74,29,200,"Elaeagnus commutata, Poa pratensis, Crataegus chrysocarpa"
"9","DEJU",792.800214931378,16306.556,"forest","boreal forest/taiga",-3,305,5.75714285714286,300,"Picea mariana, Vaccinium vitis-idaea, Betula glandulosa/nana"
"10","DELA",269.678035290083,9714.664,"forest","temperate broadleaf or mixed forest",17.6,1371.7,32.8571428571429,200,"Celtis laevigata, Ligustrum sinense, Liquidambar styraciflua"
"11","DSNY",236.849579417788,15113.276,"rangeland/grassland","temperate grassland, savanna and shrubland",22.5,1216.09,0.488888888888889,200,"Andropogon virginicus, Aristida beyrichiana, Euthamia caroliniana"
"12","GRSM",547.864159767488,19323.079,"forest","temperate broadleaf or mixed forest",13.1,1375.31,17.9166666666667,206,"Liriodendron tulipifera, Acer rubrum, Acer pensylvanicum"
"13","GUAN",594.328560393298,21299.41,"forest","tropical or subtropical moist broadleaf forest",23,840,48.5857142857143,200,"Gymnanthes lucida, Pisonia albida, Bursera simaruba"
"14","HARV",784.553967510247,19510.774,"forest","temperate broadleaf or mixed forest",7.4,1199.61,6.98,160,"Quercus rubra, Acer rubrum, Aralia nudicaulis"
"15","HEAL",2522.22902060534,45429.595,"rangeland/grassland","tundra",-1.3,385.3,14.05,84,"Bouteloua gracilis, Aristida purpurea, Calylophus hartwegii"
"16","JERC",194.474068882388,6007.973,"forest","temperate coniferous forest",19.2,1307.97,7.82,200,"Aristida beyrichiana, Pinus palustris, Quercus falcata"
"17","JORN",108.532469386396,1733.16,"rangeland/grassland","desert or xeric shrubland",15.7,271.23,10.6833333333333,200,"Yucca elata, Bouteloua eriopoda, Prosopis glandulosa"
"18","KONZ",532.716639421042,18836.926,"rangeland/grassland","temperate grassland, savanna and shrubland",12.4,870.38,36.4,200,"Schizachyrium scoparium, Andropogon gerardii, Sorghastrum nutans"
"19","LAJA",160.015807781498,18799.987,"rangeland/grassland","temperate grassland, savanna and shrubland",25,830,41.875,203,"Pithecellobium dulce, Cynodon nlemfuensis, Urochloa maxima"
"20","LENO",345.422656678019,26137.661,"forest","temperate broadleaf or mixed forest",18.1,1386.24,27.9666666666667,200,"Liquidambar styraciflua, Carpinus caroliniana, Ilex decidua"
"21","MLBS",276.87388361827,33901.105,"forest","temperate broadleaf or mixed forest",8.8,1227.82,15.8,205,"Acer rubrum, Quercus alba, Acer pensylvanicum"
"22","MOAB",170.790136011063,5861.378,"rangeland/grassland","desert or xeric shrubland",10.1,319.46,10.0125,200,"Ephedra viridis, Bouteloua gracilis, Krascheninnikovia lanata"
"23","NIWO",756.500556627697,18841.98,"rangeland/grassland","tundra",0.3,1004.54,7.35,200,"Geum rossii, Minuartia obtusiloba, Carex rupestris"
"24","NOGP",470.183302220714,21436.289,"rangeland/grassland","temperate grassland, savanna and shrubland",5.9,456.51,26.47,200,"Poa pratensis, Symphoricarpos occidentalis, Bromus inermis"
"25","OAES",52.2023718333839,8849.884,"rangeland/grassland","temperate grassland, savanna and shrubland",15.5,778.85,17.725,46,"Bouteloua gracilis, Aristida purpurea, Calylophus hartwegii"
"26","ONAQ",270.97739517063,7058.414,"shrubland","desert or xeric shrubland",9,288.31,13.0625,200,"Artemisia tridentata ssp. tridentata, Ceratocephala testiculata, Bromus tectorum"
"27","ORNL",360.351808883384,8077.528,"forest","temperate broadleaf or mixed forest",14.4,1340.32,28.1666666666667,180,"Quercus montana, Liriodendron tulipifera, Cornus florida"
"28","OSBS",236.886754700852,2664.621,"forest","temperate coniferous forest",20.9,1302.09,1.175,200,"Quercus laevis, Pinus palustris, Aristida beyrichiana"
"29","RMNP",288.921231683084,30829.093,"forest","temperate coniferous forest",2.9,730.59,6.1125,160,"Pinus contorta, Abies lasiocarpa, Juniperus communis"
"30","SCBI",201.965751803966,7366.952,"forest","temperate broadleaf or mixed forest",11.6,1125.5,33.45,200,"Liriodendron tulipifera, Microstegium vimineum, Juglans nigra"
"31","SERC",221.368300552013,10247.58,"forest","temperate broadleaf or mixed forest",13.6,1074.65,19.9583333333333,200,"Liriodendron tulipifera, Fagus grandifolia, Lindera benzoin"
"32","SJER",132.47730944873,5394.431,"rangeland/grassland","temperate grassland, savanna and shrubland",16.4,539.62,5.71666666666667,170,"Quercus douglasii, Erodium botrys, Bromus diandrus"
"33","SOAP",705.736784989487,19322.062,"forest","temperate coniferous forest",13.4,900.35,17.2833333333333,213,"Arctostaphylos viscida, Calocedrus decurrens, Quercus kelloggii"
"34","SRER",62.6244152171974,4846.742,"shrubland","desert or xeric shrubland",19.3,346.16,9.2,203,"Larrea tridentata, Prosopis velutina, Zinnia acerosa"
"35","STEI",301.847638894044,10692.977,"forest","temperate broadleaf or mixed forest",4.8,797.56,6.625,200,"Populus tremuloides, Abies balsamea, Acer rubrum"
"36","TALL",219.884546132934,8653.193,"forest","temperate coniferous forest",17.2,1382.68,6.05714285714286,200,"Quercus montana, Liriodendron tulipifera, Cornus florida"
"37","TEAK",721.111482280178,56926.59,"forest","temperate coniferous forest",8,1222.5,2.79090909090909,205,"Abies magnifica, Abies concolor, Dodecatheon jeffreyi"
"38","TREE",779.112754061706,10454.507,"forest","temperate broadleaf or mixed forest",4.8,797.56,4.63333333333333,200,"Acer saccharum, Acer rubrum, Abies balsamea"
"39","UKFS",444.678169556494,38957.866,"forest","temperate broadleaf or mixed forest",12.7,990.63,43.9875,200,"Symphoricarpos orbiculatus, Celtis occidentalis, Carya ovata"
"40","UNDE",127.531538074417,13048.007,"forest","temperate broadleaf or mixed forest",4.3,802.3,11.63,200,"Acer saccharum, Populus tremuloides, Corylus cornuta"
"41","WOOD",302.135130000535,12366.994,"rangeland/grassland","temperate grassland, savanna and shrubland",4.9,493.76,9.05714285714286,200,"Poa pratensis, Bromus inermis, Artemisia absinthium"
"42","WREF",2065.38032177399,16784.476,"forest","temperate coniferous forest",9.2,2225.01,7.28571428571429,200,"Pseudotsuga menziesii, Tsuga heterophylla, Gaultheria shallon"
"43","YELL",428.549350478438,22236.677,"rangeland/grassland","temperate grassland, savanna and shrubland",3.4,493.44,21.15,200,"Artemisia tridentata, Pseudotsuga menziesii, Eriogonum umbellatum"
