,site_code,bgb_c_stock_sum,lyr_soc_stock_calc_sum,land_cover,eco_region,mat,map,clay,layer_bot_max,veg_note_profile,veg1,veg2,veg3,myc
1,ABBY,869.4692384,28660.27,forest,temperate coniferous forest,10,2450.59,37.24285714,200,"Gaultheria shallon, Pseudotsuga menziesii, Corylus cornuta",gaultheria_shallon,pseudotsuga_menziesii,corylus_cornuta,EM
2,BARR,2345.423727,63295.291,rangeland/grassland,tundra,-12,105,22.83333333,180,"Carex aquatilis, Dupontia fisheri, Petasites frigidus",carex_aquatilis,dupontia_fisheri,petasites_frigidus,AM
3,BART,544.6318594,16107.056,forest,temperate broadleaf or mixed forest,6.2,1325.55,3.755555556,200,"Fagus grandifolia, Tsuga canadensis, Acer pensylvanicum",fagus_grandifolia,tsuga_canadensis,acer_pensylvanicum,EM/AM
4,BLAN,184.1903283,6001.269,shrubland,"temperate grassland, savanna and shrubland",12.1,982.55,26.47142857,200,"Rhamnus davurica, Lonicera maackii, Solidago altissima",rhamnus_davurica,lonicera_maackii,solidago_altissima,AM
5,BONA,317.2273067,49500.726,forest,boreal forest/taiga,-3,262,9.88,193,"Picea mariana, Populus tremuloides, Vaccinium vitis-idaea",picea_mariana,populus_tremuloides,vaccinium_vitis-idaea,EM
6,CLBJ,414.4143028,6455.752,forest,temperate broadleaf or mixed forest,17.5,925.61,15.5,147,"Bothriochloa ischaemum, Quercus stellata, Schizachyrium scoparium",bothriochloa_ischaemum,quercus_stellata,schizachyrium_scoparium,EM/AM
7,CPER,213.8193092,9024.988,rangeland/grassland,"temperate grassland, savanna and shrubland",8.6,344.24,19.5,200,"Bouteloua gracilis, Thelesperma filifolium, Hesperostipa comata",bouteloua_gracilis,thelesperma_filifolium,hesperostipa_comata,AM
8,DCFS,274.4196411,26071.495,rangeland/grassland,"temperate grassland, savanna and shrubland",4.9,489.74,29,200,"Elaeagnus commutata, Poa pratensis, Crataegus chrysocarpa",elaeagnus_commutata,poa_pratensis,crataegus_chrysocarpa,AM
9,DEJU,792.8002149,16306.556,forest,boreal forest/taiga,-3,305,5.757142857,300,"Picea mariana, Vaccinium vitis-idaea, Betula glandulosa/nana",picea_mariana,vaccinium_vitis-idaea,betula_glandulosa/nana,EM
10,DELA,269.6780353,9714.664,forest,temperate broadleaf or mixed forest,17.6,1371.7,32.85714286,200,"Celtis laevigata, Ligustrum sinense, Liquidambar styraciflua",celtis_laevigata,ligustrum_sinense,liquidambar_styraciflua,AM
11,DSNY,236.8495794,15113.276,rangeland/grassland,"temperate grassland, savanna and shrubland",22.5,1216.09,0.488888889,200,"Andropogon virginicus, Aristida beyrichiana, Euthamia caroliniana",andropogon_virginicus,aristida_beyrichiana,euthamia_caroliniana,AM
12,GRSM,547.8641598,19323.079,forest,temperate broadleaf or mixed forest,13.1,1375.31,17.91666667,206,"Liriodendron tulipifera, Acer rubrum, Acer pensylvanicum",liriodendron_tulipifera,acer_rubrum,acer_pensylvanicum,AM
13,GUAN,594.3285604,21299.41,forest,tropical or subtropical moist broadleaf forest,23,840,48.58571429,200,"Gymnanthes lucida, Pisonia albida, Bursera simaruba",gymnanthes_lucida,pisonia_albida,bursera_simaruba,AM
14,HARV,784.5539675,19510.774,forest,temperate broadleaf or mixed forest,7.4,1199.61,6.98,160,"Quercus rubra, Acer rubrum, Aralia nudicaulis",quercus_rubra,acer_rubrum,aralia_nudicaulis,EM
15,HEAL,2522.229021,45429.595,rangeland/grassland,tundra,-1.3,385.3,14.05,84,"Bouteloua gracilis, Aristida purpurea, Calylophus hartwegii",bouteloua_gracilis,aristida_purpurea,calylophus_hartwegii,AM
16,JERC,194.4740689,6007.973,forest,temperate coniferous forest,19.2,1307.97,7.82,200,"Aristida beyrichiana, Pinus palustris, Quercus falcata",aristida_beyrichiana,pinus_palustris,quercus_falcata,EM/AM
17,JORN,108.5324694,1733.16,rangeland/grassland,desert or xeric shrubland,15.7,271.23,10.68333333,200,"Yucca elata, Bouteloua eriopoda, Prosopis glandulosa",yucca_elata,bouteloua_eriopoda,prosopis_glandulosa,AM
18,KONZ,532.7166394,18836.926,rangeland/grassland,"temperate grassland, savanna and shrubland",12.4,870.38,36.4,200,"Schizachyrium scoparium, Andropogon gerardii, Sorghastrum nutans",schizachyrium_scoparium,andropogon_gerardii,sorghastrum_nutans,AM
19,LAJA,160.0158078,18799.987,rangeland/grassland,"temperate grassland, savanna and shrubland",25,830,41.875,203,"Pithecellobium dulce, Cynodon nlemfuensis, Urochloa maxima",pithecellobium_dulce,cynodon_nlemfuensis,urochloa_maxima,AM
20,LENO,345.4226567,26137.661,forest,temperate broadleaf or mixed forest,18.1,1386.24,27.96666667,200,"Liquidambar styraciflua, Carpinus caroliniana, Ilex decidua",liquidambar_styraciflua,carpinus_caroliniana,ilex_decidua,AM
21,MLBS,276.8738836,33901.105,forest,temperate broadleaf or mixed forest,8.8,1227.82,15.8,205,"Acer rubrum, Quercus alba, Acer pensylvanicum",acer_rubrum,quercus_alba,acer_pensylvanicum,EM/AM
22,MOAB,170.790136,5861.378,rangeland/grassland,desert or xeric shrubland,10.1,319.46,10.0125,200,"Ephedra viridis, Bouteloua gracilis, Krascheninnikovia lanata",ephedra_viridis,bouteloua_gracilis,krascheninnikovia_lanata,AM
23,NIWO,756.5005566,18841.98,rangeland/grassland,tundra,0.3,1004.54,7.35,200,"Geum rossii, Minuartia obtusiloba, Carex rupestris",geum_rossii,minuartia_obtusiloba,carex_rupestris,AM
24,NOGP,470.1833022,21436.289,rangeland/grassland,"temperate grassland, savanna and shrubland",5.9,456.51,26.47,200,"Poa pratensis, Symphoricarpos occidentalis, Bromus inermis",poa_pratensis,symphoricarpos_occidentalis,bromus_inermis,AM
25,OAES,52.20237183,8849.884,rangeland/grassland,"temperate grassland, savanna and shrubland",15.5,778.85,17.725,46,"Bouteloua gracilis, Aristida purpurea, Calylophus hartwegii",bouteloua_gracilis,aristida_purpurea,calylophus_hartwegii,AM
26,ONAQ,270.9773952,7058.414,shrubland,desert or xeric shrubland,9,288.31,13.0625,200,"Artemisia tridentata ssp. tridentata, Ceratocephala testiculata, Bromus tectorum",artemisia_tridentata_ssp._tridentata,ceratocephala_testiculata,bromus_tectorum,AM
27,ORNL,360.3518089,8077.528,forest,temperate broadleaf or mixed forest,14.4,1340.32,28.16666667,180,"Quercus montana, Liriodendron tulipifera, Cornus florida",quercus_montana,liriodendron_tulipifera,cornus_florida,EM/AM
28,OSBS,236.8867547,2664.621,forest,temperate coniferous forest,20.9,1302.09,1.175,200,"Quercus laevis, Pinus palustris, Aristida beyrichiana",quercus_laevis,pinus_palustris,aristida_beyrichiana,EM/AM
29,RMNP,288.9212317,30829.093,forest,temperate coniferous forest,2.9,730.59,6.1125,160,"Pinus contorta, Abies lasiocarpa, Juniperus communis",pinus_contorta,abies_lasiocarpa,juniperus_communis,EM
30,SCBI,201.9657518,7366.952,forest,temperate broadleaf or mixed forest,11.6,1125.5,33.45,200,"Liriodendron tulipifera, Microstegium vimineum, Juglans nigra",liriodendron_tulipifera,microstegium_vimineum,juglans_nigra,AM
31,SERC,221.3683006,10247.58,forest,temperate broadleaf or mixed forest,13.6,1074.65,19.95833333,200,"Liriodendron tulipifera, Fagus grandifolia, Lindera benzoin",liriodendron_tulipifera,fagus_grandifolia,lindera_benzoin,EM/AM
32,SJER,132.4773094,5394.431,rangeland/grassland,"temperate grassland, savanna and shrubland",16.4,539.62,5.716666667,170,"Quercus douglasii, Erodium botrys, Bromus diandrus",quercus_douglasii,erodium_botrys,bromus_diandrus,EM/AM
33,SOAP,705.736785,19322.062,forest,temperate coniferous forest,13.4,900.35,17.28333333,213,"Arctostaphylos viscida, Calocedrus decurrens, Quercus kelloggii",arctostaphylos_viscida,calocedrus_decurrens,quercus_kelloggii,EM
34,SRER,62.62441522,4846.742,shrubland,desert or xeric shrubland,19.3,346.16,9.2,203,"Larrea tridentata, Prosopis velutina, Zinnia acerosa",larrea_tridentata,prosopis_velutina,zinnia_acerosa,AM
35,STEI,301.8476389,10692.977,forest,temperate broadleaf or mixed forest,4.8,797.56,6.625,200,"Populus tremuloides, Abies balsamea, Acer rubrum",populus_tremuloides,abies_balsamea,acer_rubrum,EM/AM
36,TALL,219.8845461,8653.193,forest,temperate coniferous forest,17.2,1382.68,6.057142857,200,"Quercus montana, Liriodendron tulipifera, Cornus florida",quercus_montana,liriodendron_tulipifera,cornus_florida,EM/AM
37,TEAK,721.1114823,56926.59,forest,temperate coniferous forest,8,1222.5,2.790909091,205,"Abies magnifica, Abies concolor, Dodecatheon jeffreyi",abies_magnifica,abies_concolor,dodecatheon_jeffreyi,EM
38,TREE,779.1127541,10454.507,forest,temperate broadleaf or mixed forest,4.8,797.56,4.633333333,200,"Acer saccharum, Acer rubrum, Abies balsamea",acer_saccharum,acer_rubrum,abies_balsamea,EM/AM
39,UKFS,444.6781696,38957.866,forest,temperate broadleaf or mixed forest,12.7,990.63,43.9875,200,"Symphoricarpos orbiculatus, Celtis occidentalis, Carya ovata",symphoricarpos_orbiculatus,celtis_occidentalis,carya_ovata,AM
40,UNDE,127.5315381,13048.007,forest,temperate broadleaf or mixed forest,4.3,802.3,11.63,200,"Acer saccharum, Populus tremuloides, Corylus cornuta",acer_saccharum,populus_tremuloides,corylus_cornuta,AM
41,WOOD,302.13513,12366.994,rangeland/grassland,"temperate grassland, savanna and shrubland",4.9,493.76,9.057142857,200,"Poa pratensis, Bromus inermis, Artemisia absinthium",poa_pratensis,bromus_inermis,artemisia_absinthium,AM
42,WREF,2065.380322,16784.476,forest,temperate coniferous forest,9.2,2225.01,7.285714286,200,"Pseudotsuga menziesii, Tsuga heterophylla, Gaultheria shallon",pseudotsuga_menziesii,tsuga_heterophylla,gaultheria_shallon,EM
