"","site_code","hzn_type","bgb_c_stock_sum","lyr_soc_stock_calc_sum","land_cover","mat","map","clay","layer_bot_max"
"1","ABBY","organic",0,663.228,"forest",10,2450.59,36.4,3
"2","BARR","organic",2118.96690587175,34887.9,"rangeland/grassland",-12,105,19.5,110
"3","BART","organic",0,1423.296,"forest",6.2,1325.55,11.8,3
"4","BLAN","organic",0,349.16,"shrubland",12.1,982.55,0,2
"5","BONA","organic",178.224209061737,12936.79,"forest",-3,262,NA,22
"6","DEJU","organic",692.512121602448,4836.5,"forest",-3,305,5.7,5
"7","DELA","organic",0,428.736,"forest",17.6,1371.7,35.6,2
"8","HARV","organic",0,4681.728,"forest",7.4,1199.61,15.7,4
"9","HEAL","organic",1830.63832296033,11428.853,"rangeland/grassland",-1.3,385.3,NA,31
"10","LENO","organic",0,514.096,"forest",18.1,1386.24,NA,2
"11","MLBS","organic",133.78794,11975.913,"forest",8.8,1227.82,8.13333333333333,11
"12","ORNL","organic",0,541.688,"forest",14.4,1340.32,NA,1
"13","PUUM","organic",0,0,"forest",12.7,2656.8,NA,17
"14","SCBI","organic",0,464.058,"forest",11.6,1125.5,NA,2
"15","SERC","organic",0,1486.148,"forest",13.6,1074.65,11.5,2
"16","SOAP","organic",0,1388.532,"forest",13.4,900.35,NA,4
"17","TOOL","organic",0,0,"rangeland/grassland",-9,316,NA,21
"18","TREE","organic",0,396.54,"forest",4.8,797.56,4.8,2
"19","WREF","organic",1449.07971676521,4333.266,"forest",9.2,2225.01,NA,9
